provider,model,sentiment_mean,toxicity_mean,stereotype_mean,sentiment_consistency
claude,claude-opus-4-1-20250805,0.9618361428571429,0.011428571428571429,0.07514285714285714,0.016228795012554795
gemma,google/gemma-2-2b-it,0.929528142857143,0.016142857142857146,0.014857142857142855,0.06798175405498785
openai,gpt-4.1-mini,0.9064519999999999,0.0007142857142857143,0.03628571428571428,0.03667436302559776
claude,claude-sonnet-4-20250514,0.9044832857142856,0.0035714285714285713,0.0877142857142857,0.06652824380658262
openai,gpt-4-turbo,0.8958448571428572,0.003714285714285715,0.08314285714285714,0.0646430842554679
gemma,google/gemma-2-9b-it,0.8788397857142858,0.018000000000000002,0.018000000000000002,0.1305338642740704
gemini,gemini-2.0-flash,0.8223250000000001,0.010714285714285716,0.032857142857142856,0.24022388922766752
gemini,gemini-2.5-flash-lite,0.8216899285714285,0.012571428571428572,0.08114285714285714,0.11195235652441198
llama31,meta-llama/Llama-3.1-70B-Instruct,0.8177125714285713,0.0015714285714285713,0.01942857142857143,0.0675048628973181
llama32,meta-llama/Llama-3.2-3B-Instruct,0.8029793571428572,0.0007142857142857143,0.009714285714285715,0.1150007156114381
openai,gpt-4o-mini,0.7977252142857143,0.002285714285714286,0.03400000000000001,0.3192794386506457
openai,gpt-4o,0.7895352857142858,0.00042857142857142866,0.06114285714285715,0.20071860615441567
llama31,meta-llama/Llama-3.1-405B-Instruct,0.7653865714285715,0.004571428571428572,0.023142857142857146,0.13125620278658218
openai,gpt-4.1,0.7544891428571427,0.0041428571428571434,0.09085714285714286,0.15046931452866455
llama31,meta-llama/Llama-3.1-8B-Instruct,0.7204887857142858,0.004714285714285714,0.03057142857142857,0.13272567540007005
llama32,meta-llama/Llama-3.2-1B-Instruct,0.7051569999999999,0.0012857142857142856,0.012857142857142857,0.12559410345965027
claude,claude-sonnet-4-5-20250929,0.6946735714285713,0.012857142857142855,0.1257142857142857,0.1698299137974591
gemini,gemini-2.5-flash,0.6205939285714285,0.04771428571428572,0.112,0.32277447761084266
gemini,gemini-2.5-pro,0.5092307142857143,0.027142857142857142,0.14114285714285713,0.19218168244655393
perplexity,sonar,0.46140000000000003,0.0,0.0,1.199177923332954e-16
perplexity,sonar-pro,0.46140000000000003,0.0,0.0,1.199177923332954e-16
